peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27ac_Rep1_S1	Naive_P14_Day30_H3K27ac_Rep2_S2	Naive_P14_Day30_H3K27ac_Rep3_S3	Naive_P14_Day30_H3K27ac_Rep4_S4	Naive_P14_Day32_H3K27ac_Rep1_S9	Naive_P14_Day32_H3K27ac_Rep2_S10	Naive_P14_Day32_H3K27ac_Rep3_S11	Naive_P14_Day32_H3K27ac_Rep4_S12
peak3735	chr2	68959011	68961038	.	2028	153.18	141.03	117.13	156.75	153.98	95	122.64	133.71
peak3736	chr2	68978100	68979763	.	1664	28.37	31.61	37.68	46.29	43.67	34.16	52.21	44.24
peak3737	chr2	69001696	69003812	.	2117	15.4	23.1	18.84	17.06	18.39	14.94	21.86	13.76
peak3739	chr2	69108592	69110803	.	2212	72.13	62	70.44	65.79	73.54	77.92	80.14	72.76
peak3740	chr2	69134875	69136733	.	1859	22.69	19.45	16.38	25.18	25.28	13.88	24.29	20.65
peak3741	chr2	69196387	69197219	.	833	8.1	3.65	12.29	4.06	3.45	5.34	12.14	4.92
peak3742	chr2	69205046	69206529	.	1484	20.26	17.02	18.02	17.06	9.19	9.61	13.36	16.71
peak3743	chr2	69240056	69241822	.	1767	73.75	75.38	85.18	96.65	96.52	115.28	63.14	95.37
peak3744	chr2	69379761	69382595	.	2835	8.1	7.29	8.19	9.75	10.34	5.34	9.71	9.83
peak3745	chr2	69634699	69636145	.	1447	12.97	15.8	7.37	10.56	12.64	10.67	15.79	10.82
peak3746	chr2	69712067	69714022	.	1956	28.37	18.24	32.76	26.8	31.03	34.16	35.21	32.45
peak3747	chr2	69722043	69724200	.	2158	257.73	257.74	249	232.28	240.16	268.98	282.93	250.71
peak3749	chr2	69777404	69779158	.	1755	247.2	235.85	194.94	253.4	260.84	228.42	231.93	255.63
peak3750	chr2	69788919	69790937	.	2019	126.44	115.5	130.23	118.58	120.65	102.47	99.57	118.97
peak3752	chr2	69860368	69863102	.	2735	199.38	183.58	203.13	227.41	207.98	204.94	239.22	200.57
peak3753	chr2	69884503	69886486	.	1984	89.15	104.55	82.73	90.96	101.12	91.8	78.93	85.54
peak3754	chr2	69896723	69899380	.	2658	80.24	62	87.64	73.91	78.14	62.98	72.86	77.67
peak3755	chr2	69904542	69906480	.	1939	34.85	27.96	24.57	21.12	32.17	20.28	26.71	21.63
peak3756	chr2	69916793	69918295	.	1503	9.73	10.94	12.29	8.12	10.34	7.47	8.5	9.83
peak3758	chr2	69993530	69996490	.	2961	163.72	154.4	166.27	151.06	182.7	182.53	161.5	191.72
peak3759	chr2	70021284	70023154	.	1871	28.37	30.39	31.94	27.61	49.41	35.22	38.86	29.5
peak3760	chr2	70090143	70093337	.	3195	132.92	177.5	158.08	157.56	217.18	196.4	216.14	198.61
peak3761	chr2	70093563	70094715	.	1153	27.56	31.61	28.67	22.74	34.47	27.75	30.36	32.45
peak3762	chr2	70125787	70128191	.	2405	4.86	7.29	7.37	5.69	9.19	5.34	7.29	8.85
peak3765	chr2	70660722	70663188	.	2467	64.84	74.16	72.9	65.79	82.73	70.45	75.29	65.87
peak3766	chr2	70701333	70702409	.	1077	18.64	10.94	25.39	17.87	32.17	18.15	20.64	18.68
peak3767	chr2	70726475	70727722	.	1248	16.21	15.8	11.47	19.49	8.04	21.35	17	12.78
peak3768	chr2	70770084	70772057	.	1974	36.47	31.61	34.4	27.61	41.37	33.09	30.36	37.36
peak3770	chr2	70792564	70794680	.	2117	59.98	58.36	63.89	62.54	81.58	66.18	70.43	72.76
peak3771	chr2	70808133	70811507	.	3375	159.67	155.62	172.01	189.24	160.87	165.45	163.93	178.94
peak3772	chr2	70823906	70827121	.	3216	124.81	153.18	168.73	133.2	140.19	150.5	155.43	149.45
peak3773	chr2	70832891	70833935	.	1045	43.77	44.98	54.06	44.67	50.56	53.37	47.36	51.13
peak3774	chr2	70835059	70837004	.	1946	168.58	187.22	167.09	164.87	181.55	145.17	154.22	178.94
peak3775	chr2	70843878	70846280	.	2403	113.47	100.91	115.49	92.59	109.16	105.67	88.64	110.12
peak3776	chr2	70921425	70923293	.	1869	28.37	27.96	35.22	34.11	32.17	24.55	23.07	28.51
peak3778	chr2	70938458	70939752	.	1295	26.75	37.69	33.58	30.86	35.62	24.55	24.29	26.55
peak3779	chr2	70988929	70990708	.	1780	31.61	20.67	23.75	19.49	17.24	16.01	18.21	20.65
peak3781	chr2	71031575	71033552	.	1978	140.21	155.62	153.17	160	127.55	154.77	138.43	144.53
peak3782	chr2	71040389	71041914	.	1526	116.71	151.97	138.42	131.57	109.16	124.89	120.22	130.76
peak3783	chr2	71046270	71048724	.	2455	137.78	148.32	138.42	120.2	129.85	118.48	129.93	147.48
peak3784	chr2	71051515	71052411	.	897	70.51	60.79	59.79	62.54	59.75	55.5	53.43	67.84
peak3785	chr2	71053927	71056834	.	2908	278.81	288.13	285.86	286.7	224.07	285	264.72	248.75
peak3786	chr2	71073635	71075333	.	1699	29.18	37.69	40.13	39.8	36.77	26.68	32.79	36.38
peak3787	chr2	71127542	71129088	.	1547	25.94	24.31	29.49	30.05	31.03	37.36	32.79	35.39
peak3788	chr2	71211356	71212922	.	1567	46.2	53.49	46.69	57.66	47.11	44.83	60.71	48.18
peak3790	chr2	71247654	71248832	.	1179	3.24	7.29	7.37	5.69	10.34	5.34	8.5	5.9
peak3792	chr2	71359010	71361048	.	2039	81.86	98.48	86.82	91.78	102.27	106.74	115.36	95.37
peak3793	chr2	71366175	71368425	.	2251	157.23	160.48	156.44	145.38	166.62	201.74	180.93	145.51
peak3794	chr2	71376045	71378490	.	2446	37.28	52.28	50.78	53.6	44.81	39.49	43.71	58.99
peak3795	chr2	71388641	71390533	.	1893	108.61	94.83	99.93	99.9	70.09	84.32	74.07	70.79
peak3796	chr2	71404474	71406674	.	2201	62.41	52.28	56.52	51.17	55.16	62.98	41.29	54.08
peak3797	chr2	71452760	71454220	.	1461	73.75	65.65	58.97	60.91	76.99	78.99	53.43	63.91
peak3798	chr2	71734726	71736448	.	1723	72.13	68.08	76.99	63.35	78.14	73.65	76.5	83.57
peak3799	chr2	71785859	71788080	.	2222	29.18	30.39	36.86	31.67	48.26	28.82	27.93	25.56
peak3800	chr2	71800312	71801851	.	1540	159.67	126.44	163	168.93	145.93	173.99	159.07	172.06
peak3801	chr2	71809206	71810903	.	1698	104.55	81.46	88.46	100.71	98.82	99.27	103.22	105.2
peak3802	chr2	71812553	71815927	.	3375	359.86	348.92	352.2	352.48	342.43	345.84	367.93	357.88
peak3803	chr2	71816080	71817025	.	946	73.75	59.57	71.26	81.22	75.84	68.31	72.86	57.03
peak3804	chr2	71832370	71834601	.	2232	7.29	6.08	4.1	8.12	11.49	5.34	21.86	9.83
peak3805	chr2	71842719	71845062	.	2344	38.9	38.9	47.51	50.35	44.81	50.17	53.43	53.09
peak3806	chr2	71863427	71864210	.	784	76.19	48.63	72.9	52.79	55.16	64.04	80.14	61.94
peak3807	chr2	71865651	71868404	.	2754	394.71	363.51	349.75	321.62	373.45	369.32	366.72	396.23
peak3808	chr2	71872477	71875888	.	3412	290.15	277.19	272.75	260.71	235.56	266.85	259.86	244.82
peak3809	chr2	71941051	71942237	.	1187	35.66	37.69	38.5	49.54	47.11	39.49	43.71	52.11
peak3810	chr2	72082373	72084448	.	2076	63.22	65.65	47.51	62.54	75.84	92.86	68	78.66
peak3811	chr2	72112964	72115686	.	2723	414.97	421.86	435.75	434.51	490.66	432.3	437.15	445.39
peak3812	chr2	72116788	72118372	.	1585	197.76	193.3	183.47	185.99	214.88	213.48	195.5	211.39
peak3813	chr2	72125818	72127345	.	1528	36.47	18.24	25.39	15.43	33.32	37.36	37.64	38.34
peak3814	chr2	72135988	72138117	.	2130	319.33	314.88	371.86	342.74	353.92	324.49	375.22	368.7
peak3815	chr2	72140016	72141030	.	1015	126.44	148.32	130.23	136.45	144.78	141.96	146.93	171.08
peak3816	chr2	72144392	72146782	.	2391	411.73	393.9	416.09	426.39	396.43	396.01	388.57	372.63
peak3817	chr2	72158727	72159726	.	1000	26.75	19.45	26.21	27.61	11.49	27.75	32.79	33.43
peak3818	chr2	72169175	72171908	.	2734	218.83	233.42	179.38	211.17	237.86	185.73	216.14	220.24
peak3819	chr2	72183237	72184853	.	1617	35.66	49.85	45.05	34.92	68.94	44.83	48.57	45.23
peak3822	chr2	72281780	72283623	.	1844	24.31	34.04	22.12	31.67	31.03	22.42	24.29	26.55
peak3824	chr2	72475341	72476589	.	1249	28.37	20.67	32.76	17.87	27.58	20.28	19.43	18.68
peak3825	chr2	72837594	72839186	.	1593	7.29	10.94	14.74	21.93	22.98	21.35	20.64	13.76
peak3827	chr2	72853170	72853951	.	782	29.99	19.45	17.2	17.06	28.73	32.02	19.43	25.56
peak3828	chr2	72854914	72858323	.	3410	205.86	201.81	212.14	232.28	265.44	259.38	229.5	264.48
peak3829	chr2	72873611	72875331	.	1721	74.56	53.49	66.35	78.78	66.65	64.04	58.29	84.55
peak3830	chr2	72975316	72978755	.	3440	192.9	203.03	189.21	199.79	230.96	196.4	183.36	181.89
peak3831	chr2	72980065	72981778	.	1714	124	160.48	134.33	118.58	116.06	140.9	122.64	111.1
peak3832	chr2	72995143	72998284	.	3142	441.71	454.69	434.11	449.13	417.12	431.23	398.29	422.77
peak3833	chr2	73002045	73004382	.	2338	164.53	172.64	172.01	158.37	159.72	167.58	155.43	172.06
peak3835	chr2	73069364	73071540	.	2177	32.42	25.53	18.02	19.49	26.43	20.28	32.79	21.63
peak3837	chr2	73159914	73161688	.	1775	37.28	36.47	34.4	29.24	45.96	39.49	41.29	45.23
peak3838	chr2	73203899	73205425	.	1527	39.71	49.85	30.31	40.61	48.26	45.9	48.57	56.04
peak3839	chr2	73213379	73215155	.	1777	57.54	59.57	50.78	60.91	49.41	61.91	48.57	57.03
peak3841	chr2	73311521	73313815	.	2295	136.97	127.65	112.21	151.06	135.59	146.23	142.07	131.75
peak3842	chr2	73344884	73349222	.	4339	29.99	32.83	21.3	26.8	33.32	44.83	38.86	29.5
peak3843	chr2	73385441	73387573	.	2133	92.4	100.91	84.37	72.28	75.84	77.92	82.57	76.69
peak3844	chr2	73388631	73390136	.	1506	42.96	58.36	41.77	48.73	42.52	52.3	38.86	42.28
peak3845	chr2	73403384	73405099	.	1716	4.86	10.94	5.73	8.12	11.49	12.81	10.93	3.93
peak3846	chr2	73428313	73430720	.	2408	25.13	35.26	26.21	30.86	26.43	21.35	30.36	20.65
peak3847	chr2	73435548	73436997	.	1450	33.23	37.69	45.87	47.11	40.22	55.5	35.21	47.19
peak3848	chr2	73448861	73451970	.	3110	354.18	316.09	323.54	355.73	301.06	335.16	314.5	354.93
peak3849	chr2	73452100	73455311	.	3212	346.89	314.88	353.84	356.54	340.13	346.9	333.93	356.9
peak3850	chr2	73455505	73456139	.	635	55.11	57.14	42.59	56.85	51.71	52.3	49.79	52.11
peak3851	chr2	73462067	73464827	.	2761	197.76	239.5	251.46	245.28	251.65	239.1	250.14	248.75
peak3852	chr2	73466232	73468050	.	1819	76.19	83.89	89.28	82.03	80.44	70.45	99.57	95.37
peak3853	chr2	73469480	73471250	.	1771	124	121.57	115.49	93.4	94.22	152.64	112.93	124.87
peak3854	chr2	73475106	73477065	.	1960	59.98	81.46	89.28	73.1	66.65	89.66	95.93	78.66
peak3855	chr2	73484170	73487318	.	3149	430.37	431.59	484.08	461.31	451.59	444.04	427.43	456.2
peak3856	chr2	73495313	73496768	.	1456	55.11	60.79	49.96	69.03	56.3	69.38	74.07	79.64
peak3858	chr2	73548022	73549357	.	1336	21.88	27.96	18.84	25.18	17.24	16.01	29.14	31.46
peak3860	chr2	73855550	73857965	.	2416	57.54	58.36	67.98	64.97	65.5	73.65	63.14	65.87
peak3861	chr2	73891552	73893938	.	2387	222.88	226.13	235.9	204.67	190.75	223.09	190.64	221.22
peak3862	chr2	73909991	73912400	.	2410	201	179.93	169.55	158.37	183.85	173.99	174.86	183.86
peak3863	chr2	74577562	74579808	.	2247	78.62	77.81	90.1	95.02	79.29	91.8	87.43	100.29
peak3864	chr2	74825231	74827517	.	2287	56.73	49.85	44.23	56.04	52.86	52.3	46.14	46.21
peak3865	chr2	75019068	75020331	.	1264	21.07	19.45	24.57	31.67	31.03	24.55	21.86	28.51
peak3866	chr2	75063894	75065461	.	1568	24.31	31.61	24.57	32.49	32.17	36.29	41.29	39.33
peak3868	chr2	75071926	75073937	.	2012	60.79	58.36	60.61	66.6	74.69	72.58	49.79	72.76
peak3869	chr2	75469683	75471265	.	1583	44.58	62	48.33	63.35	55.16	52.3	54.64	65.87
peak3870	chr2	75584517	75585964	.	1448	23.5	30.39	21.3	27.61	26.43	23.48	30.36	15.73
peak3872	chr2	75636562	75640729	.	4168	189.65	215.19	172.01	211.98	225.22	224.15	227.07	229.08
peak3873	chr2	75655481	75656507	.	1027	11.35	13.37	16.38	20.3	20.68	19.21	20.64	13.76
peak3874	chr2	75656874	75660789	.	3916	371.2	380.53	370.22	367.1	440.1	377.86	392.22	439.49
peak3875	chr2	75682345	75686284	.	3940	551.13	528.85	529.94	605.07	549.26	566.79	550.08	591.88
peak3876	chr2	75686759	75687407	.	649	45.39	55.92	74.54	58.48	65.5	67.25	60.71	74.72
peak3877	chr2	75690864	75692331	.	1468	29.99	27.96	31.13	23.55	31.03	21.35	31.57	21.63
peak3878	chr2	75702321	75705802	.	3482	469.27	420.65	374.32	427.2	386.09	441.9	378.86	399.18
peak3879	chr2	75719695	75721459	.	1765	84.29	76.59	90.92	82.03	87.33	92.86	86.21	97.34
peak3881	chr2	75762636	75764099	.	1464	24.31	35.26	28.67	34.11	37.92	19.21	24.29	31.46
peak3882	chr2	75775396	75777431	.	2036	19.45	32.83	23.75	17.06	27.58	24.55	29.14	26.55
peak3883	chr2	75791741	75793341	.	1601	23.5	27.96	30.31	25.18	31.03	24.55	29.14	44.24
peak3884	chr2	75823478	75824579	.	1102	34.04	34.04	31.13	29.24	39.07	35.22	32.79	39.33
peak3885	chr2	75831582	75833485	.	1904	39.71	52.28	50.78	47.11	35.62	46.97	58.29	36.38
peak3886	chr2	75849199	75850329	.	1131	23.5	13.37	9.83	11.37	13.79	16.01	10.93	18.68
peak3887	chr2	75890996	75893086	.	2091	94.83	89.97	106.48	108.02	94.22	100.34	93.5	99.3
peak3888	chr2	75906538	75907964	.	1427	26.75	47.41	27.03	38.17	31.03	46.97	48.57	38.34
peak3889	chr2	75913878	75915746	.	1869	83.48	97.26	83.55	95.84	110.31	102.47	100.79	108.15
peak3891	chr2	75937843	75939238	.	1396	89.96	86.32	97.47	95.02	95.37	93.93	83.79	87.5
peak3892	chr2	75981209	75982435	.	1227	50.25	55.92	42.59	47.11	42.52	51.24	53.43	51.13
peak3893	chr2	76128084	76129682	.	1599	29.99	32.83	34.4	33.3	42.52	43.76	42.5	40.31
peak3894	chr2	76214279	76215997	.	1719	218.83	221.27	204.77	205.48	228.67	227.36	224.64	247.76
peak3895	chr2	76219037	76221072	.	2036	149.94	170.2	153.17	150.25	158.57	194.27	182.14	215.32
peak3896	chr2	76237701	76239298	.	1598	39.71	41.34	40.13	24.37	42.52	37.36	31.57	41.29
peak3897	chr2	76369471	76371723	.	2253	60.79	53.49	54.88	38.17	57.45	49.1	76.5	43.26
peak3898	chr2	76420881	76422182	.	1302	35.66	29.18	40.13	35.74	20.68	18.15	14.57	28.51
peak3899	chr2	76647132	76648899	.	1768	38.09	29.18	39.32	38.98	35.62	30.95	31.57	44.24
peak3900	chr2	76671887	76676900	.	5014	149.94	141.03	139.24	150.25	131	160.11	125.07	153.38
peak3901	chr2	77169524	77171578	.	2055	73.75	64.43	62.25	62.54	50.56	48.03	54.64	71.77
peak3902	chr2	77175919	77177127	.	1209	10.54	27.96	13.11	25.99	26.43	17.08	20.64	20.65
peak3903	chr2	77270166	77271635	.	1470	29.18	25.53	27.85	33.3	21.83	24.55	24.29	35.39
peak3904	chr2	77945153	77946810	.	1658	176.69	195.74	172.01	183.55	212.58	220.95	201.57	216.3
peak3905	chr2	78859596	78861132	.	1537	17.02	14.59	23.75	26.8	6.89	19.21	17	11.8
peak3907	chr2	78867767	78868830	.	1064	17.83	32.83	19.66	13.81	24.13	30.95	21.86	26.55
peak3908	chr2	78869472	78871202	.	1731	64.03	57.14	59.79	63.35	54.01	46.97	54.64	53.09
peak3909	chr2	78959499	78963602	.	4104	51.87	62	55.7	64.97	58.6	67.25	68	61.94
peak3910	chr2	78971125	78973283	.	2159	12.97	24.31	18.02	17.87	19.53	25.62	24.29	21.63
peak3911	chr2	78973662	78974340	.	679	2.43	3.65	1.64	5.69	4.6	4.27	4.86	8.85
peak3912	chr2	78974693	78975757	.	1065	4.05	6.08	10.65	8.12	8.04	6.4	4.86	12.78
peak3913	chr2	78976132	78978712	.	2581	29.99	23.1	30.31	19.49	32.17	43.76	41.29	34.41
peak3914	chr2	78978957	78982064	.	3108	26.75	41.34	41.77	33.3	40.22	48.03	35.21	30.48
peak3915	chr2	78990661	78991861	.	1201	8.92	9.73	5.73	7.31	3.45	11.74	10.93	9.83
peak3916	chr2	78994993	78998154	.	3162	26.75	38.9	27.85	34.11	35.62	34.16	40.07	40.31
peak3917	chr2	79000986	79002066	.	1081	4.05	7.29	4.91	0.81	5.75	11.74	14.57	12.78
peak3918	chr2	79004168	79007202	.	3035	68.89	65.65	80.27	72.28	64.35	71.52	76.5	93.4
peak3919	chr2	79012207	79014024	.	1818	28.37	32.83	27.85	37.36	36.77	37.36	32.79	29.5
peak3920	chr2	79018965	79020188	.	1224	8.1	7.29	3.28	2.44	4.6	3.2	4.86	5.9
peak3921	chr2	79037660	79038903	.	1244	6.48	9.73	4.1	4.87	10.34	6.4	12.14	8.85
peak3922	chr2	79043887	79044531	.	645	2.43	12.16	3.28	2.44	8.04	6.4	6.07	6.88
peak3923	chr2	79045036	79046039	.	1004	0.81	2.43	3.28	3.25	5.75	5.34	7.29	6.88
peak3924	chr2	79046273	79053411	.	7139	53.49	83.89	68.8	82.03	95.37	91.8	95.93	75.71
peak3925	chr2	79064658	79067570	.	2913	8.1	19.45	8.19	15.43	8.04	14.94	10.93	12.78
peak3926	chr2	79085517	79086125	.	609	2.43	4.86	5.73	4.06	1.15	8.54	4.86	4.92
peak3927	chr2	79086370	79088854	.	2485	78.62	82.67	78.63	97.46	98.82	65.11	88.64	78.66
peak3928	chr2	79111507	79112880	.	1374	21.88	20.67	22.93	15.43	14.94	17.08	21.86	21.63
peak3929	chr2	79120353	79125606	.	5254	487.1	425.51	470.97	458.88	511.34	445.11	494.22	498.48
peak3930	chr2	79125828	79128253	.	2426	159.67	134.95	135.97	157.56	153.98	176.12	142.07	162.23
peak3933	chr2	79172185	79173836	.	1652	64.03	81.46	64.71	72.28	74.69	74.72	77.71	82.59
peak3934	chr2	79180510	79181752	.	1243	30.8	38.9	28.67	32.49	32.17	20.28	30.36	27.53
peak3935	chr2	79227010	79228980	.	1971	68.08	76.59	74.54	71.47	62.05	56.57	52.21	75.71
peak3936	chr2	79230603	79233207	.	2605	126.44	151.97	143.34	140.51	139.04	130.22	134.79	149.45
peak3937	chr2	79248123	79251071	.	2949	275.57	256.52	240.81	246.9	272.33	264.72	241.64	236.95
peak3938	chr2	79253276	79260310	.	7035	1091.72	1131.86	1122.14	1144.35	1076.69	1065.26	1069.79	1047.1
peak3939	chr2	79262052	79263723	.	1672	30.8	30.39	24.57	35.74	36.77	28.82	23.07	35.39
peak3940	chr2	79266988	79268466	.	1479	42.15	46.2	52.42	56.85	45.96	48.03	46.14	37.36
peak3941	chr2	79269374	79271538	.	2165	173.44	182.36	158.9	153.5	167.77	176.12	196.72	181.89
peak3942	chr2	79294170	79296811	.	2642	30.8	46.2	36.86	36.55	28.73	28.82	36.43	30.48
peak3943	chr2	79370035	79372774	.	2740	59.17	52.28	44.23	71.47	81.58	51.24	55.86	75.71
peak3945	chr2	79549844	79552029	.	2186	42.96	31.61	30.31	41.42	41.37	32.02	46.14	35.39
peak3946	chr2	79634363	79637024	.	2662	72.94	92.4	79.45	61.73	60.9	71.52	64.36	61.94
peak3947	chr2	80314004	80316685	.	2682	89.96	86.32	113.03	115.33	96.52	118.48	88.64	106.18
peak3948	chr2	80323735	80325393	.	1659	90.77	105.77	97.47	104.77	80.44	92.86	88.64	105.2
peak3949	chr2	80578849	80580573	.	1725	29.18	25.53	27.03	21.93	20.68	20.28	19.43	15.73
peak3950	chr2	80616482	80618823	.	2342	121.57	113.06	95.83	108.02	93.08	92.86	103.22	83.57
peak3951	chr2	80638266	80640391	.	2126	55.11	59.57	48.33	58.48	40.22	38.43	54.64	35.39
peak3952	chr2	80680727	80682321	.	1595	17.83	20.67	27.03	21.93	31.03	25.62	29.14	18.68
peak3953	chr2	80684207	80685538	.	1332	21.88	15.8	26.21	26.8	19.53	28.82	24.29	21.63
peak3954	chr2	81990269	81992687	.	2419	18.64	15.8	18.84	28.43	28.73	35.22	34	36.38
peak3955	chr2	83643763	83646063	.	2301	93.21	85.1	97.47	96.65	85.03	90.73	81.36	69.81
peak3956	chr2	83648247	83649220	.	974	28.37	35.26	27.85	27.61	28.73	29.89	37.64	35.39
peak3958	chr2	83694368	83696961	.	2594	12.16	17.02	9.83	14.62	19.53	21.35	13.36	20.65
peak3959	chr2	83721167	83722211	.	1045	3.24	7.29	6.55	9.75	4.6	3.2	3.64	7.87
peak3960	chr2	83722466	83726498	.	4033	124.81	138.6	136.79	119.39	126.4	134.49	112.93	131.75
peak3961	chr2	83726873	83727773	.	901	9.73	15.8	4.1	9.75	9.19	6.4	15.79	10.82
peak3962	chr2	83744191	83746951	.	2761	26.75	24.31	16.38	12.18	26.43	10.67	23.07	27.53
peak3963	chr2	83928839	83930308	.	1470	77.81	82.67	70.44	76.34	73.54	72.58	78.93	67.84
peak3966	chr2	83993382	83995001	.	1620	128.87	124.01	139.24	123.45	139.04	115.28	119	100.29
peak3967	chr2	84016195	84021004	.	4810	313.66	323.39	306.34	325.68	332.08	386.4	316.93	363.78
peak3968	chr2	84022600	84023678	.	1079	50.25	58.36	45.05	60.91	82.73	68.31	66.79	61.94
peak3969	chr2	84035833	84037392	.	1560	20.26	21.88	19.66	25.18	18.39	14.94	19.43	23.6
peak3970	chr2	84058596	84060608	.	2013	16.21	14.59	13.11	8.12	5.75	14.94	18.21	17.7
peak3971	chr2	84072501	84073686	.	1186	28.37	35.26	17.2	23.55	29.88	24.55	23.07	20.65
peak3972	chr2	84255036	84256421	.	1386	19.45	23.1	20.48	29.24	31.03	12.81	17	23.6
peak3973	chr2	84346946	84349034	.	2089	116.71	109.42	122.04	130.76	132.14	122.75	109.29	109.13
peak3974	chr2	84383480	84385196	.	1717	40.52	36.47	28.67	30.05	27.58	13.88	25.5	18.68
peak3975	chr2	84423508	84427206	.	3699	479.81	455.9	454.59	465.38	467.68	432.3	443.22	468.98
peak3976	chr2	84476181	84477153	.	973	27.56	21.88	27.03	21.93	35.62	22.42	40.07	34.41
peak3977	chr2	84478510	84479569	.	1060	40.52	31.61	25.39	33.3	40.22	28.82	21.86	27.53
peak3978	chr2	84481224	84482290	.	1067	56.73	71.73	58.97	60.91	44.81	49.1	63.14	53.09
peak3979	chr2	84497978	84499837	.	1860	62.41	47.41	54.06	59.29	32.17	57.64	54.64	53.09
peak3980	chr2	84504448	84506434	.	1987	76.19	94.83	55.7	82.84	101.12	83.26	87.43	83.57
peak3982	chr2	84632644	84634367	.	1724	30.8	20.67	21.3	21.93	24.13	17.08	27.93	19.66
peak3983	chr2	84669974	84671819	.	1846	92.4	110.63	103.2	99.9	94.22	71.52	81.36	87.5
peak3984	chr2	84677222	84679212	.	1991	141.83	130.08	118.77	127.51	79.29	113.14	105.64	101.27
peak3985	chr2	84713760	84717026	.	3267	315.28	325.82	308.79	313.5	289.57	306.34	289	341.17
peak3986	chr2	84726421	84728225	.	1805	96.45	114.28	99.11	99.09	88.48	90.73	69.21	90.45
peak3987	chr2	84798112	84800918	.	2807	33.23	35.26	31.94	38.17	22.98	20.28	31.57	15.73
peak3988	chr2	84826217	84828227	.	2011	98.07	100.91	94.19	102.33	104.57	109.94	97.14	97.34
peak3989	chr2	84936219	84939244	.	3026	64.03	53.49	51.6	58.48	60.9	57.64	43.71	58.99
peak3990	chr2	84962906	84964974	.	2069	9.73	7.29	9.01	7.31	10.34	6.4	20.64	9.83
peak3991	chr2	85013080	85015012	.	1933	32.42	34.04	40.13	27.61	37.92	37.36	41.29	50.14
peak3992	chr2	85033949	85034773	.	825	17.83	15.8	13.11	17.87	10.34	19.21	18.21	11.8
peak3993	chr2	85036675	85038441	.	1767	128.06	150.75	128.6	134.01	135.59	168.65	128.72	117
peak3994	chr2	85046847	85049302	.	2456	117.52	109.42	119.59	134.01	86.18	122.75	95.93	99.3
peak3995	chr2	85060047	85062001	.	1955	34.85	21.88	40.95	41.42	45.96	33.09	40.07	39.33
peak3996	chr2	86019345	86021412	.	2068	38.9	46.2	58.97	60.91	55.16	51.24	49.79	70.79
peak3999	chr2	90474752	90475641	.	890	21.07	25.53	24.57	25.99	26.43	21.35	27.93	24.58
peak4000	chr2	90486812	90491432	.	4621	56.73	79.02	80.27	56.04	97.67	70.45	78.93	69.81
peak4001	chr2	90495987	90497490	.	1504	12.16	12.16	13.11	13.81	11.49	9.61	14.57	11.8
peak4002	chr2	90504319	90505706	.	1388	19.45	15.8	22.12	22.74	36.77	21.35	23.07	23.6
peak4003	chr2	90536679	90538237	.	1559	14.59	23.1	14.74	13.81	19.53	11.74	14.57	13.76
peak4004	chr2	90542167	90543464	.	1298	3.24	1.22	1.64	4.06	3.45	1.07	4.86	0.98
peak4005	chr2	90547128	90547873	.	746	1.62	1.22	1.64	0.81	2.3	1.07	3.64	0.98
peak4006	chr2	90551509	90552925	.	1417	11.35	21.88	18.84	18.68	10.34	8.54	14.57	12.78
peak4007	chr2	90561697	90562542	.	846	13.78	18.24	13.11	17.87	8.04	9.61	19.43	11.8
peak4008	chr2	90564467	90566916	.	2450	25.94	36.47	27.03	17.87	20.68	22.42	38.86	28.51
peak4009	chr2	90569638	90570827	.	1190	15.4	17.02	16.38	18.68	8.04	11.74	19.43	8.85
peak4010	chr2	90580770	90581904	.	1135	13.78	15.8	12.29	16.24	24.13	13.88	14.57	15.73
peak4011	chr2	90582223	90584249	.	2027	18.64	24.31	31.13	25.18	37.92	27.75	14.57	26.55
peak4012	chr2	90634659	90635932	.	1274	25.94	32.83	33.58	22.74	29.88	43.76	41.29	38.34
peak4013	chr2	90667057	90668634	.	1578	59.17	57.14	67.98	50.35	63.2	51.24	69.21	58.99
peak4014	chr2	90678499	90680325	.	1827	127.25	116.71	128.6	120.2	117.21	108.87	117.79	94.39
peak4015	chr2	90744550	90747133	.	2584	384.17	322.17	344.01	333.8	370	365.05	343.65	323.47
peak4016	chr2	90846442	90848301	.	1860	138.59	145.89	133.51	156.75	148.23	136.63	142.07	143.55
peak4017	chr2	90903454	90905512	.	2059	176.69	175.07	190.03	173.81	240.16	214.55	197.93	174.03
peak4018	chr2	90916461	90918592	.	2132	95.64	106.99	114.67	129.14	128.7	117.41	99.57	128.8
peak4019	chr2	90940298	90942354	.	2057	143.46	131.3	151.53	118.58	156.27	136.63	94.71	136.66
peak4020	chr2	90954796	90956178	.	1383	26.75	34.04	36.86	34.92	32.17	35.22	41.29	26.55
peak4021	chr2	90959715	90961006	.	1292	40.52	38.9	46.69	41.42	39.07	40.56	37.64	46.21
peak4022	chr2	91042100	91043581	.	1482	23.5	29.18	37.68	38.98	31.03	32.02	32.79	30.48
peak4023	chr2	91053038	91055063	.	2026	77.81	89.97	83.55	79.59	71.24	77.92	83.79	77.67
peak4024	chr2	91069106	91071483	.	2378	69.7	63.22	60.61	71.47	65.5	84.32	76.5	72.76
